Name,Rating,Review,Address
Tashann Multi Cuisine Restaurant,4.2,(552),"No. 2/2 A, 1st Floor, Mahadevpura Flyover, near Mega More store, Laxmi Sagar Layout, Mahadevapura, Bengaluru, Karnataka 560048"
Zaatar Multicuisine Restaurant,4.1,"(10,330)","Old Madras Rd, Sakshi Nagar, Pai Layout, Mahadevapura, Bengaluru, Karnataka 560016"
Sreenidhi Family Restaurant & Bar,3.9,(206),"No-178/3, 6th A Cross, GM Palya Main Rd, Bengaluru, Karnataka 560075"
Flechazo Marathahalli,4.0,"(17,290)","Sy No. 9/1, 2nd Floor, VRR Orchid, above Surya Nissan, Brindavan Extension, Doddanekundi, Mahadevapura, Bengaluru, Karnataka 560048"
Punjabi Park Family Restaurant,3.5,(567),"16 A, B Narayanapura Rd, Kamadhenu Nagar, B Narayanapura, Mahadevapura, Bengaluru, Karnataka 560016"
New Tandoor Multi Cuisine Family Restaurant,4.0,"(3,033)","#21, Kaggadasapura Main Rd, Nagavarapalya, C V Raman Nagar, Bengaluru, Karnataka 560093"
Empire Restaurant,4.1,(558),"21, Whitefield Main Rd, Garudachar Palya, Mahadevapura, Bengaluru, Karnataka 560048"
Kairali Restaurant,3.7,(562),"6th Cross Rd, Nagavarapalya, C V Raman Nagar, Bengaluru, Karnataka 560093"
Noodle Bar,4.3,"(1,332)","3rd Cross Rd, Devasandra Industrial Estate, Krishnarajapura, Bengaluru, Karnataka 560048"
New Delicacy,3.8,(607),"8, & 9, Lakshmi Mansion, 328/E, 18 Cross Kaggadaspura, CV Raman Nagar, Kaggadasapura, Bengaluru, Karnataka 560093"
Ramtej restaurant,3.9,(223),"14/2, EPIP Zone, Brookefield, Bengaluru, Karnataka 560037"
Nisarga Restaurant,3.7,(289),"Hoodi, Bengaluru, Karnataka 560048"
Malabar Queen Restaurant,,,"2, BMP-42, Kaggadasapura Main Rd, Aishwarya Lake View Residency, Kaggadasapura, Bengaluru, Karnataka 560093"
Infinity Family Restaurant,3.8,(512),"Akamma Gowda Complex, 20/4, Outer Ring Rd, near Cake Palace bakery, Saraswathi Nagar, B Narayanapura, Mahadevapura, Bengaluru, Karnataka 560048"
Mr. Tadka Restaurant,4.3,(275),"5th Cross, Nagavarapalya Main Road, Nagavarapalya, C V Raman Nagar, Bengaluru, Karnataka 560093"
Mayura Sagar Restaurant,4.0,"(5,978)","XPC7+43M, Kundalahalli Main Rd, EPIP Zone, Brookefield, Bengaluru, Karnataka 560037"
Balaji Restaurant,3.0,(1),"XPF2+5Q8, Chinnapanahalli, Dodda Nekkundi Extension, Doddanekkundi, Bengaluru, Karnataka 560037"
Restaurant Chef Pillai Whitefield Bengaluru,4.3,"(5,222)","E 1/94, Opp: Phoenix Market, Whitefield Main Rd, Mahadevapura Layout, RHB Colony, Mahadevapura, Bengaluru, Karnataka 560048"
"Savoury Family Restaurant, CV Raman Nagar",3.8,"(2,964)","2nd cross, Kaggadasapura Main Rd, Varsova Layout, Kaggadasapura, Bengaluru, Karnataka 560093"
RB Gardenia Family Bar & Restaurant,3.6,(346),"No 143 A, 2nd Main Rd, Sakshi Nagar, Pai Layout, Krishnarajapura, Bengaluru, Karnataka 560016"
Tandoori Chowk,3.6,(509),"204, Akkamma Complex, Outer Ring Road, Mahadevapura, near More Mega Store, Bengaluru, Karnataka 560048"
De Royale Spice Restaurant,4.1,(18),"513, Whitefield Main Rd, Maheswari Nagar, Puttappa layout, Mahadevapura, Bengaluru, Karnataka 560048"
Chungwok restaurant,4.7,(98),"No 11/13 shivaganga complex. shivaganga layout, Outer Ring Rd, behind more megastore, Mahadevapura, Bengaluru, Karnataka 560048"
Sattvam Whitefield,4.4,"(2,427)","138/139, ITPL मेन मार्ग, opp. Decathlon, Adjacent to Metro Wholesale, Garudachar Palya, Mahadevapura, Bengaluru, Karnataka 560048"
Magical Spices Fine Dining Restaurant,3.9,(742),"Old Madras Rd, Nagavarapalya, Bennigana Halli, Bengaluru, Karnataka 560093"
Hongkong Garden,4.0,(702),"Vignana Doddanekundi, Kaggadasapura, 17, Kaggadasapura Main Rd, Vignan Nagar, Doddanekundi, Kaggadasapura, Bengaluru, Karnataka 560037"
"Kairali Mess, Kerala Style Food",4.0,(708),"Road to, near to RR Bakery, A Narayanapura, Pai Layout, Mahadevapura, Bengaluru, Karnataka 560016"
Rannaghar Restaurant,3.7,(279),"#11,12 1A, Vignan Nagar New, Malleshpalya, Extension, Bengaluru, Karnataka 560075"
Bhavani Shree Upahara Restaurant,3.8,(669),"1, 5th Main Rd, Malleshpalya, Kaggadasapura, Bengaluru, Karnataka 560075"
Queens Restaurant,3.6,(9),"Prestige Technostar, Doddanakundi Industrial Area 2, Phase 1, Brookefield, Bengaluru, Karnataka 560048"
Sri R Restaurant,3.7,(3),"250, 1st cross, ITPL Main Rd, Kundalahalli Colony, Bengaluru, Karnataka 560037"
BHAGAS A/C Bar & Restaurant,3.6,(429),"No 480, Old Madras Rd, near Tin Factory, Bangalore Corporation Industrial Estate, Dooravani Nagar, Bengaluru, Karnataka 560020//9101561183"
New Krishna Sagar Vegetarian,3.8,"(1,273)","No.205/A, Old Chethan Theater, C V Raman Nagar, Nagavarapalaya Main Road, Bengaluru, Karnataka 560093"
Udupi Ruchi,4.2,(834),"Kaggadasapura to Outer Ring Rd, Kaggadasapura, Bengaluru, Karnataka 560093"
Rice & Roll,3.5,(794),"XMV8+PF4, 2nd Main Rd, Sakshi Nagar, Pai Layout, Mahadevapura, Bengaluru, Karnataka 560016"
